Id,Predicted
0,2
1,3
2,2
3,4
4,0
5,0
6,4
7,2
8,3
9,2
10,0
11,1
12,2
13,5
14,0
15,2
16,4
17,1
18,5
19,0
20,0
21,1
22,0
23,1
24,0
25,5
26,0
27,6
28,6
29,0
30,5
31,3
32,1
33,6
34,2
35,3
36,6
37,2
38,2
39,4
40,0
41,2
42,4
43,2
44,4
45,5
46,0
47,3
48,5
49,0
50,4
51,5
52,1
53,1
54,1
55,6
56,6
57,4
58,4
59,3
60,4
61,4
62,0
63,6
64,2
65,5
66,3
67,1
68,0
69,5
70,3
71,6
72,4
73,1
74,0
75,0
76,2
77,0
78,0
79,2
80,2
81,0
82,5
83,4
84,6
85,5
86,2
87,5
88,1
89,1
90,6
91,0
92,3
93,4
94,5
95,4
96,0
97,4
98,2
99,4
100,0
101,0
102,3
103,3
104,4
105,1
106,0
107,1
108,4
109,1
110,0
111,1
112,5
113,3
114,0
115,1
116,1
117,1
118,1
119,3
120,0
121,5
122,0
123,4
124,1
125,0
126,6
127,2
128,0
129,1
130,3
131,4
132,4
133,5
134,0
135,3
136,4
137,1
138,3
139,4
140,3
141,5
142,5
143,1
144,3
145,2
146,4
147,5
148,1
149,1
150,0
151,5
152,4
153,4
154,0
155,5
156,1
157,2
158,4
159,4
160,5
161,3
162,2
163,3
164,3
165,5
166,5
167,2
168,2
169,0
170,4
171,3
172,5
173,2
174,5
175,0
176,0
177,1
178,0
179,2
180,5
181,1
182,0
183,1
184,3
185,1
186,2
187,5
188,5
189,0
190,3
191,0
192,1
193,5
194,5
195,0
196,2
197,2
198,1
199,2
200,0
201,5
202,4
203,0
204,3
205,6
206,6
207,2
208,5
209,3
210,0
211,4
212,2
213,4
214,0
215,0
216,2
217,6
218,6
219,1
220,1
221,3
222,2
223,4
224,1
225,4
226,2
227,0
228,6
229,5
230,6
231,0
232,0
233,1
234,2
235,0
236,6
237,6
238,3
239,0
240,1
241,0
242,6
243,0
244,0
245,4
246,2
247,5
248,1
249,6
250,0
251,2
252,6
253,3
254,5
255,6
256,5
257,6
258,3
259,2
260,0
261,3
262,3
263,3
264,0
265,0
266,4
267,4
268,6
269,2
270,0
271,3
272,1
273,4
274,6
275,4
276,2
277,4
278,5
279,6
280,0
281,1
282,1
283,3
284,0
285,6
286,4
287,5
288,1
289,1
290,6
291,6
292,5
293,4
294,2
295,6
296,0
297,6
298,2
299,2
300,5
301,3
302,2
303,3
304,5
305,2
306,2
307,3
308,1
309,0
310,1
311,3
312,3
313,5
314,5
315,5
316,0
317,4
318,2
319,3
320,0
321,1
322,3
323,0
324,1
325,0
326,1
327,5
328,1
329,1
330,2
331,2
332,0
333,3
334,5
335,2
336,6
337,0
338,0
339,3
340,0
341,5
342,3
343,2
344,2
345,3
346,1
347,0
348,1
349,0
350,5
351,5
352,2
353,0
354,6
355,4
356,2
357,6
358,5
359,3
360,2
361,1
362,1
363,5
364,0
365,5
366,4
367,5
368,0
369,1
370,3
371,2
372,5
373,2
374,5
375,0
376,0
377,0
378,2
379,1
380,2
381,0
382,3
383,1
384,2
385,3
386,4
387,3
388,3
389,3
390,1
391,2
392,3
393,3
394,1
395,0
396,2
397,0
398,4
399,3
400,3
401,2
402,6
403,0
404,6
405,6
406,5
407,1
408,2
409,6
410,3
411,0
412,5
413,1
414,3
415,2
416,0
417,0
418,4
419,4
420,6
421,4
422,0
423,2
424,5
425,0
426,3
427,4
428,5
429,5
430,3
431,6
432,3
433,0
434,6
435,1
436,0
437,4
438,2
439,2
440,5
441,0
442,0
443,0
444,6
445,0
446,0
447,0
448,3
449,0
450,2
451,0
452,2
453,4
454,0
455,1
456,2
457,0
458,1
459,5
460,4
461,0
462,1
463,0
464,2
465,4
466,6
467,1
468,3
469,3
470,6
471,4
472,0
473,2
474,4
475,0
476,3
477,5
478,2
479,5
480,5
481,5
482,2
483,4
484,4
485,0
486,0
487,5
488,3
489,5
490,1
491,0
492,0
493,3
494,5
495,0
496,1
497,5
498,1
499,6
500,1
501,1
502,0
503,5
504,0
505,5
506,1
507,3
508,2
509,2
510,2
511,0
512,6
513,5
514,5
515,5
516,2
517,6
518,2
519,5
520,6
521,0
522,0
523,6
524,0
525,2
526,4
527,0
528,6
529,4
530,3
531,6
532,5
533,3
534,2
535,5
536,5
537,4
538,1
539,3
540,5
541,3
542,0
543,1
544,6
545,5
546,4
547,2
548,1
549,0
550,0
551,0
552,0
553,6
554,2
555,5
556,6
557,0
558,0
559,5
560,3
561,2
562,5
563,0
564,5
565,3
566,6
567,0
568,1
569,4
570,5
571,0
572,6
573,4
574,5
575,3
576,2
577,0
578,1
579,2
580,0
581,0
582,0
