Id,Predicted
0,5
1,3
2,1
3,2
4,3
5,3
6,2
7,1
8,4
9,3
10,1
11,1
12,1
13,1
14,4
15,4
16,3
17,4
18,3
19,4
20,1
21,0
22,0
23,0
24,6
25,3
26,4
27,0
28,0
29,0
30,2
31,5
32,2
33,0
34,1
35,5
36,0
37,5
38,5
39,3
40,6
41,3
42,5
43,1
44,3
45,2
46,0
47,0
48,3
49,0
50,3
51,2
52,1
53,5
54,0
55,3
56,2
57,0
58,3
59,4
60,3
61,1
62,2
63,0
64,1
65,6
66,0
67,1
68,1
69,4
70,2
71,1
72,2
73,2
74,1
75,0
76,1
77,1
78,5
79,5
80,1
81,1
82,4
83,5
84,3
85,4
86,6
87,6
88,4
89,4
90,3
91,0
92,0
93,3
94,2
95,3
96,5
97,3
98,1
99,3
100,1
101,0
102,2
103,1
104,3
105,3
106,0
107,0
108,3
109,1
110,0
111,5
112,2
113,2
114,0
115,4
116,4
117,6
118,4
119,6
120,1
121,5
122,1
123,3
124,3
125,0
126,3
127,1
128,1
129,5
130,2
131,2
132,3
133,0
134,3
135,2
136,3
137,0
138,1
139,3
140,1
141,5
142,2
143,6
144,2
145,1
146,5
147,0
148,1
149,0
150,3
151,5
152,5
153,4
154,0
155,0
156,4
157,1
158,2
159,0
160,3
161,4
162,1
163,1
164,2
165,1
166,5
167,1
168,1
169,0
170,3
171,0
172,2
173,1
174,4
175,3
176,4
177,0
178,0
179,3
180,6
181,1
182,0
183,3
184,2
185,4
186,1
187,4
188,4
189,1
190,2
191,0
192,6
193,2
194,6
195,0
196,1
197,5
198,2
199,0
200,4
201,2
202,2
203,0
204,1
205,3
206,4
207,5
208,4
209,3
210,5
211,1
212,1
213,3
214,5
215,4
216,1
217,2
218,3
219,1
220,2
221,4
222,1
223,3
224,3
225,2
226,1
227,1
228,2
229,6
230,4
231,2
232,0
233,0
234,1
235,0
236,0
237,1
238,5
239,5
240,2
241,0
242,6
243,2
244,1
245,3
246,1
247,4
248,3
249,6
250,0
251,1
252,0
253,4
254,1
255,0
256,0
257,2
258,2
259,1
260,6
261,1
262,3
263,3
264,0
265,1
266,3
267,0
268,0
269,1
270,1
271,0
272,0
273,2
274,3
275,3
276,2
277,3
278,5
279,3
280,0
281,2
282,4
283,2
284,1
285,3
286,3
287,3
288,1
289,5
290,0
291,0
292,1
293,0
294,1
295,0
296,0
297,0
298,1
299,2
300,2
301,1
302,1
303,1
304,1
305,5
306,0
307,0
308,2
309,4
310,1
311,1
312,4
313,5
314,6
315,5
316,3
317,2
318,1
319,4
320,0
321,6
322,0
323,1
324,0
325,0
326,0
327,1
328,2
329,2
330,2
331,2
332,2
333,4
334,6
335,1
336,4
337,0
338,4
339,3
340,1
341,4
342,3
343,1
344,1
345,0
346,0
347,4
348,2
349,3
350,3
351,3
352,1
353,0
354,0
355,2
356,5
357,3
358,0
359,1
360,1
361,5
362,4
363,6
364,2
365,3
366,2
367,2
368,1
369,1
370,2
371,1
372,0
373,4
